Date,Cured,Deaths,Confirmed
28/03/20,3.0,2.0,55.0
29/03/20,5.0,3.0,76.0
30/03/20,5.0,3.0,83.0
31/03/20,5.0,3.0,83.0
01/04/20,8.0,3.0,101.0
02/04/20,9.0,3.0,110.0
03/04/20,10.0,3.0,124.0
04/04/20,12.0,3.0,128.0
05/04/20,12.0,4.0,144.0
06/04/20,12.0,4.0,151.0
07/04/20,25.0,4.0,175.0
08/04/20,25.0,4.0,175.0
09/04/20,28.0,5.0,181.0
10/04/20,30.0,6.0,197.0
11/04/20,37.0,6.0,214.0
12/04/20,37.0,6.0,226.0
13/04/20,59.0,6.0,247.0
14/04/20,65.0,9.0,258.0
15/04/20,75.0,11.0,277.0
16/04/20,82.0,13.0,315.0
17/04/20,82.0,13.0,353.0
18/04/20,92.0,13.0,371.0
19/04/20,104.0,14.0,384.0
20/04/20,111.0,16.0,395.0
21/04/20,114.0,17.0,415.0
22/04/20,129.0,17.0,425.0
23/04/20,141.0,17.0,443.0
24/04/20,150.0,18.0,463.0
25/04/20,153.0,18.0,489.0
26/04/20,177.0,18.0,501.0
27/04/20,188.0,20.0,511.0
28/04/20,198.0,20.0,520.0
29/04/20,215.0,20.0,532.0
30/04/20,223.0,21.0,557.0
